unique_id,smape_baseline,smape_ensemble,gain,length_group,category
M41470,11.901358771488606,10.860523132674947,1.0408356388136593,medium,Finance
M4158,12.15099053593523,11.045940101641829,1.1050504342934016,long_history,Macro
M4174,14.252929901614367,13.785721001148016,0.46720890046635155,long_history,Macro
M41791,3.831176839679737,3.8767392659810724,-0.045562426301335446,short,Finance
M42156,1.1124585087206171,2.032831240235905,-0.9203727315152876,medium,Finance
M42214,2.6089353034235008,2.8557361861454673,-0.24680088272196654,cold_start,Finance
M42218,1.879812824414904,2.6065153367516105,-0.7267025123367066,cold_start,Finance
M42415,12.033432721052414,11.21379821143919,0.8196345096132234,short,Finance
M42496,23.873726106288654,25.281900064248262,-1.4081739579596082,short,Finance
M42747,7.897420311713497,8.022886889796427,-0.12546657808292938,short,Finance
M4279,5.911703723091448,4.768614289333753,1.1430894337576953,long_history,Macro
M42941,10.858293152926846,10.99617776134676,-0.13788460841991323,short,Finance
M42955,22.00307356415111,21.698858474175044,0.30421508997606495,cold_start,Finance
M43006,6.319172210295498,7.132141912926524,-0.8129697026310261,short,Finance
M43066,6.976121129019141,6.596060268572216,0.38006086044692555,short,Finance
M43158,48.70361438524557,46.597149644532166,2.106464740713406,short,Finance
M43221,17.369353636967045,16.50546324783895,0.8638903891280947,short,Finance
M43404,0.7668987541625035,0.7482883136640524,0.018610440498451175,medium,Finance
M43414,71.6275972432952,69.83059969634017,1.7969975469550263,long_history,Finance
M43629,9.00338536918221,12.99970123175343,-3.9963158625712207,short,Finance
M44036,3.3475989130389445,3.1923752867514144,0.15522362628753017,cold_start,Finance
M44180,10.11929285745344,16.0200819501665,-5.90078909271306,long_history,Finance
M44215,7.654851825400982,8.584167554125045,-0.9293157287240632,long_history,Finance
M44232,10.516164264973002,8.667768562677209,1.848395702295793,long_history,Finance
M4435,45.541887875069825,44.4517569594199,1.0901309156499224,short,Macro
M44405,3.957321848996647,6.009987813107628,-2.052665964110981,medium,Finance
M44457,1.658109515030393,2.0601677277119865,-0.4020582126815935,medium,Finance
M44748,20.045205075274463,18.17570621249168,1.869498862782784,long_history,Finance
M45533,10.675838983285898,11.153256054522199,-0.4774170712363013,short,Finance
M45612,33.652256546576325,32.89036147681813,0.7618950697581965,cold_start,Finance
M45640,7.622346237476553,10.511402523708107,-2.889056286231553,cold_start,Finance
M4582,76.64249063641147,73.351675936733,3.2908146996784637,short,Macro
M45868,9.467089971778792,9.853063039749923,-0.38597306797113085,short,Finance
M46100,4.512353899597993,4.6488024365170455,-0.1364485369190529,medium,Finance
M46191,4.707076788280726,4.474667816508376,0.2324089717723501,medium,Finance
M4628,17.41443722534597,15.742024630287943,1.6724125950580273,short,Macro
M4637,45.64754042332988,41.9693667061513,3.6781737171785807,short,Macro
M46456,9.14974320470803,9.050281373496578,0.09946183121145147,short,Finance
M46615,5.320319854611073,5.168884697388971,0.1514351572221022,short,Finance
M4675,13.825842531337894,13.448452361809975,0.37739016952791893,short,Macro
M46778,43.2195352746237,42.39434313134709,0.8251921432766096,cold_start,Finance
M46827,13.994894874057573,13.94205047573024,0.05284439832733412,cold_start,Finance
M4694,23.99665173811433,23.330578326017847,0.666073412096484,long_history,Macro
M47212,31.95616821404286,30.53641329219768,1.4197549218451826,cold_start,Finance
M4733,10.956020712094713,10.57507373480728,0.380946977287433,long_history,Macro
M47392,15.022678678133166,14.189692581878885,0.832986096254281,cold_start,Finance
M47397,33.61555321912949,33.157616965467234,0.457936253662254,cold_start,Finance
M47411,36.94168792305047,34.43065074521976,2.5110371778307154,cold_start,Finance
M47461,19.29679603299843,18.133709923209192,1.163086109789237,cold_start,Finance
M47557,48.37715256900533,46.33760061458781,2.039551954417526,cold_start,Finance
M47686,10.754579076285593,8.776037190546775,1.9785418857388173,short,Finance
M47728,26.510873307643234,23.890462758094547,2.620410549548687,long_history,Other
M47729,10.980360116002826,10.477851883451113,0.5025082325517136,short,Other
M47733,21.804994936453014,19.906022995711773,1.8989719407412409,short,Other
M47734,12.780624758088004,11.95218771961227,0.8284370384757338,short,Other
